tipo,autonomia,provincia,matricula,causa,poblacion,fechahora_ini,nivel,carretera,pk_inicial,pk_final,sentido,longitud,latitud, cluster
Obras,Euskadi,ARABA,VI,Obras,None,2006-10-24 13:04:13,Blanco,AP-68,66,66,BILBAO,-2.92183,42.72518,-1
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-10-24 09:21:19,Blanco,AP-68,50,50,ZARAGOZA,-2.89331,42.85456,78
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2006-10-23 17:30:30,Blanco,AP-68,63,63,BILBAO,-2.90653,42.74746,103
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2006-10-23 17:30:30,Blanco,AP-68,63,63,BILBAO,-2.90653,42.74746,103
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2006-10-23 17:30:30,Blanco,AP-68,63,63,BILBAO,-2.90653,42.74746,103
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2006-10-23 17:28:26,Blanco,AP-68,60,60,ZARAGOZA,-2.90772,42.77201,31
Obras,Euskadi,ARABA,VI,Obras,None,2006-10-19 09:03:38,Blanco,AP-68,60,63,BILBAO,-2.90723,42.7718,31
Obras,Euskadi,ARABA,VI,Obras,Iruña Oka/Iruña de Oca,2006-10-18 16:10:00,Blanco,N-1,337,337,MADRID,-2.822939,42.7927,2
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2006-10-18 09:34:06,Blanco,AP-68,58,60,ZARAGOZA,-2.89953,42.78738,-1
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2006-10-18 09:34:06,Amarillo,AP-68,58,60,ZARAGOZA,-2.89953,42.78738,-1
Obras,Euskadi,ARABA,VI,Obras,None,2006-10-17 11:51:51,Blanco,AP-68,72,72,BILBAO,-2.88888,42.68017,109
Obras,Euskadi,ARABA,VI,Obras,Zuia,2006-10-17 10:53:13,Blanco,AP-68,35,35,ZARAGOZA,-2.877197,42.97503,97
Obras,Euskadi,ARABA,VI,Obras,Armiñón,2006-10-17 09:57:47,Blanco,N-1,323,329,IRÚN,-2.909908,42.70812,69
Obras,Euskadi,ARABA,VI,Obras,None,2006-10-16 15:35:27,Blanco,AP-68,53,53,BILBAO,-2.89528,42.82766,-1
Obras,Euskadi,ARABA,VI,Obras,None,2006-10-16 15:35:27,Blanco,AP-68,53,53,BILBAO,-2.89528,42.82766,-1
Obras,Euskadi,ARABA,VI,Obras,None,2006-10-16 15:35:27,Blanco,AP-68,53,53,BILBAO,-2.89528,42.82766,-1
Obras,Euskadi,ARABA,VI,Obras,Zuia,2006-10-16 08:24:52,Blanco,AP-68,31,31,ZARAGOZA,-2.89219,43.00167,55
Obras,Euskadi,ARABA,VI,Obras,None,2006-10-16 08:32:21,Blanco,AP-68,56,56,ZARAGOZA,-2.90542,42.80467,-1
Obras,Euskadi,ARABA,VI,Obras,Zuia,2006-10-16 10:16:32,Blanco,AP-68,35,35,ZARAGOZA,-2.877197,42.97503,97
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2006-10-16 08:32:21,Blanco,AP-68,55,55,ZARAGOZA,-2.90288,42.81336,11
Obras,Euskadi,ARABA,VI,Obras,Zuia,2006-10-16 08:24:52,Blanco,AP-68,31,31,ZARAGOZA,-2.89219,43.00167,55
Obras,Euskadi,ARABA,VI,Obras,None,2006-10-11 11:22:31,Blanco,AP-68,35,35,BILBAO,-2.87705,42.97476,97
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-10-11 09:01:28,Blanco,AP-68,50,50,ZARAGOZA,-2.89331,42.85456,78
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2006-10-10 08:17:56,Blanco,AP-68,63,63,ZARAGOZA,-2.90674,42.74772,103
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2006-10-09 09:03:19,Blanco,AP-68,50,50,ZARAGOZA,-2.89331,42.85456,78
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2006-10-09 09:03:19,Blanco,AP-68,50,50,ZARAGOZA,-2.89331,42.85456,78
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2006-10-09 09:03:19,Blanco,AP-68,50,50,ZARAGOZA,-2.89331,42.85456,78
Obras,Euskadi,ARABA,VI,Obras,None,2006-10-06 08:06:30,Blanco,AP-68,60,60,ZARAGOZA,-2.90772,42.77201,31
Obras,Euskadi,ARABA,VI,Obras,Armiñón,2006-10-05 19:26:29,Blanco,N-1,338,338,IRÚN,-2.817043,42.80006,3
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-10-05 08:11:29,Blanco,AP-68,51,51,BILBAO,-2.89269,42.84543,-1
Obras,Euskadi,ARABA,VI,Obras,None,2006-10-05 08:11:29,Blanco,AP-68,51,51,BILBAO,-2.89269,42.84543,-1
Obras,Euskadi,ARABA,VI,Obras,None,2006-10-05 08:11:29,Blanco,AP-68,59,59,BILBAO,-2.90573,42.78021,31
Obras,Euskadi,ARABA,VI,Obras,None,2006-10-04 20:07:07,Blanco,AP-68,50,50,ZARAGOZA,-2.89331,42.85456,78
Obras,Euskadi,ARABA,VI,Obras,Vitoria-Gasteiz,2006-10-04 20:06:08,Blanco,AP-68,35,35,ZARAGOZA,-2.877197,42.97503,97
Obras,Euskadi,ARABA,VI,Obras,None,2006-10-04 08:03:44,Blanco,AP-68,50,50,BILBAO,-2.89297,42.85442,78
Obras,Euskadi,ARABA,VI,Obras,None,2006-10-04 08:03:44,Blanco,AP-68,59,59,BILBAO,-2.90573,42.78021,31
Obras,Euskadi,ARABA,VI,Obras,None,2006-10-04 08:03:44,Blanco,AP-68,59,59,BILBAO,-2.90573,42.78021,31
Obras,Euskadi,ARABA,VI,Obras,None,2006-10-03 08:22:38,Blanco,AP-68,53,53,BILBAO,-2.89528,42.82766,-1
Obras,Euskadi,ARABA,VI,Obras,None,2006-10-03 08:22:38,Blanco,AP-68,53,63,BILBAO,-2.89528,42.82766,-1
